name	M1	M2	R1	R2	T1	T2	d						M	R	T		Lum
NSVS_02502726	0.714	0.347	0.674	0.763	4300	3620	173						0.714	0.674	4300		0.140872663
del_Vel	2.43	2.27	2.97	2.52	9450	9830	25						2.43	2.97	9450		63.80772213
CV_Vel	6.066	5.972	4.126	3.908	18000	17780	553						6.066	4.126	18000		1620.99463
XY_UMa	1.101	0.665	1.16	0.63	5200	4125	86						1.101	1.16	5200		0.892405959
PT_Vel	2.198	1.626	2.094	1.559	9247	7638	164						2.198	2.094	9247		29.07969811
KW_Hya	1.978	1.488	2.126	1.484	8000	6900	86						1.978	2.126	8000		16.79266316
2MASSJ09381349-0104281	0.771	0.768	0.772	0.769	4360	4360	151						0.771	0.772	4360		0.195350113
QX_Car	9.266	8.48	4.29	4.05	23800	22600	760						9.266	4.29	23800		5356.184409
HS_Hya	1.255	1.219	1.275	1.216	6500	6400	102						1.255	1.275	6500		2.63212739
ZZ_UMa	1.182	0.962	1.519	1.159	5903	5097	172						1.182	1.519	5903		2.541205514
2MASSJ10305521+0334265	0.499	0.443	0.457	0.427	3720	3630	627						0.499	0.457	3720		0.036277493
UV_Leo	1.21	1.11	0.973	1.216	6129	5741	91						1.21	0.973	6129		1.211761847
RZ_Cha	1.514	1.506	2.264	2.264	6457	6457	190						1.514	2.264	6457		8.081818614
DW_Car	11.34	10.63	4.558	4.297	27900	26500	2810						11.34	4.558	27900		11418.22412
UW_Lmi	1.06	1.04	1.23	1.21	6500	6500	114						1.06	1.23	6500		2.449608937
GZ_Leo	0.79	0.78	0.79	0.82	5120	5120	54						0.79	0.79	5120		0.389015705
chi02_Hya	3.61	2.64	4.39	2.16	11750	11100	240						3.61	4.39	11750		333.2066155
EM_Car	22.89	21.42	9.35	8.34	34000	34000	2200						22.89	9.35	34000		105967.3316
LSPM_J1112+7626	0.395	0.275	0.381	0.3	3061	2952	48.1						0.395	0.381	3061		0.011559429
FM_Leo	1.318	1.287	1.648	1.511	6316	6190	130.4						1.318	1.648	6316		3.920270265
V346_Cen	11.8	8.4	8.2	4.2	26500	24000	2380						11.8	8.2	26500		30077.67823
MW_UMa	1.32	1.11	1.26	1.14	6514	6112	159						1.32	1.26	6514		2.592777299
EP_Cru	5.02	4.83	3.59	3.495	15700	15400	1000						5.02	3.59	15700		710.2653285
IM_Vir	0.981	0.664	1.061	0.681	5570	4250	89.8						0.981	1.061	5570		0.98284415
HY_Vir	1.838	1.404	2.806	1.519	7870	6546	182						1.838	2.806	7870		27.39727514
eta_Mus	3.3	3.29	2.14	2.13	12700	12550	103						3.3	2.14	12700		108.0626315
NSVS_01031772	0.543	0.498	0.526	0.509	3615	3513	60						0.543	0.526	3615		0.042858583
SZ_Cen	2.317	2.277	4.552	3.62	8000	8280	545						2.317	4.552	8000		76.98348423
ZZ_Boo	1.62	1.57	2.15	2.15	6670	6670	104						1.62	2.15	6670		8.298763037
BH_Vir	1.178	1.05	1.22	1.11	6000	5850	225						1.178	1.22	6000		1.74967655
DM_Vir	1.454	1.448	1.763	1.763	6500	6500	192						1.454	1.763	6500		5.032585472
V636_Cen	1.052	0.854	1.018	0.83	5900	5000	71.8						1.052	1.018	5900		1.13903406
Psi_Cen	3.084	1.891	3.621	1.804	10450	8800	79						3.084	3.621	10450		141.8258254
AD_Boo	1.414	1.209	1.612	1.216	6575	6145	201						1.414	1.612	6575		4.405003035
GG_Lup	4.116	2.509	2.379	1.725	14750	11000	140						4.116	2.379	14750		242.9909359
GU_Boo	0.61	0.599	0.623	0.62	3920	3810	140						0.61	0.623	3920		0.083129175
CV_Boo	1.032	0.968	1.262	1.173	5760	5670	259						1.032	1.262	5760		1.590163395
alpha_CrB	2.58	0.92	3.04	0.9	9700	5800	23						2.58	3.04	9700		74.21081697
RT_CrB	1.359	1.343	2.946	2.615	5134	5781	408						1.359	2.946	5134		5.469177907
V335_Ser	2.02	1.84	2.03	1.6	9506	8872	219						2.02	2.03	9506		30.52224148
TV_Nor	2.053	1.665	1.839	1.55	9120	7798	265						2.053	1.839	9120		21.22149229
M4-V65	0.804	0.605	1.147	0.611	6088	4812	1850						0.804	1.147	6088		1.639300303
M4-V66	0.784	0.744	0.934	0.83	6162	5938	1850						0.784	0.934	6162		1.140810834
M4-V69	0.766	0.728	0.866	0.807	6084	5915	1850						0.766	0.866	6084		0.932021035
V760_Sco	4.98	4.62	3.01	2.64	16900	16300	280						4.98	3.01	16900		670.3674489
CM_Dra	0.231	0.214	0.253	0.239	3130	3120	145						0.231	0.253	3130		0.005572518
2MASSJ16502074+4639013	0.493	0.489	0.453	0.452	3500	3395	118						0.493	0.453	3500		0.027931978
V1292_Sco	18.6	7.3	11.2	5.2	31900	21800	1637						18.6	11.2	31900		117823.4909
V1034_Sco	17.97	9.96	7.45	5.39	34000	26260	1528						17.97	7.45	34000		67276.17972
V2626_Oph	1.76	1.28	3.243	1.291	7760	7205	246						1.76	3.243	7760		34.5918581
WZ_Oph	1.227	1.22	1.401	1.419	6165	6115	156						1.227	1.401	6165		2.571826712
V2365_Oph	1.965	1.056	2.19	0.934	9500	6400	251						1.965	2.19	9500		35.43363924
V2368_Oph	2.62	2.74	3.96	3.84	9300	9500	220						2.62	3.96	9300		106.4033434
U_Oph	4.93	4.56	3.29	3.01	16900	16000	212						4.93	3.29	16900		800.8878824
TX_Her	1.62	1.45	1.69	1.43	7534	6678	155						1.62	1.69	7534		8.346588086
LV_Her	1.193	1.17	1.358	1.313	6060	6030	352						1.193	1.358	6060		2.255917145
V624_Her	2.27	1.87	3.03	2.21	8150	7945	146						2.27	3.03	8150		36.74081623
BD-00_3357	1.73	1.34	1.78	1.32	7250	6425	310						1.73	1.78	7250		7.940084774
V539_Ara	6.25	5.33	4.43	3.73	18200	16982	340						6.25	4.43	18200		1953.107343
V906_Sco	3.378	3.253	4.521	3.515	10400	10700	283						3.378	4.521	10400		216.8879779
Z_Her	1.61	1.31	1.85	2.73	6397	4977	100						1.61	1.85	6397		5.19854692
V1647_Sgr	2.19	1.97	1.83	1.67	9600	9100	160						2.19	1.83	9600		25.80003054
V3903_Sgr	27.27	19.01	8.088	6.125	38000	34100	1497						27.27	8.088	38000		123722.8114
EG_Ser	2.2	1.99	1.69	1.55	9900	9100	230						2.2	1.69	9900		24.885553
V994_Her-B	1.87	1.86	1.59	1.5	9000	8450	256						1.87	1.59	9000		15.04518024
V994_Her-A	2.83	2.3	2.15	1.71	12000	9450	256						2.83	2.15	12000		86.94307824
V451_Oph	2.776	2.356	2.64	2.028	10800	9800	300						2.776	2.64	10800		86.00743266
RX_Her	2.747	2.326	2.443	1.986	11100	10016	325						2.747	2.443	11100		82.18110141
V413_Ser	3.68	3.36	3.21	2.93	11100	10350	247						3.68	3.21	11100		141.8845439
HD_172189	2.06	1.87	4.014	2.967	7920	7608	432						2.06	4.014	7920		57.50274421
V1331_Aql	10.1	5.29	4.25	4.04	25400	20100	490						10.1	4.25	25400		6819.394814
YY_Sgr	3.9	3.48	2.56	2.33	14800	14125	900						3.9	2.56	14800		285.2068162
BF_Dra	1.414	1.375	2.086	1.922	6360	6400	354						1.414	2.086	6360		6.4578831
BD+03_3821	4.04	2.72	3.77	2.04	13140	12044	513						4.04	3.77	13140		384.323791
DI_Her	5.15	4.52	2.68	2.48	16980	15135	617						5.15	2.68	16980		541.568555
HP_Dra	1.133	1.094	1.371	1.052	6000	5895	77						1.133	1.371	6000		2.209596735
V1182_Aql	31	16.6	9	4.86	43000	30500	1500						31	9	43000		251183.987
V1665_Aql	3.97	3.66	4.13	2.6	12300	11650	477						3.97	4.13	12300		354.1226108
V805_Aql	2.11	1.63	2.11	1.75	8185	7178	168						2.11	2.11	8185		18.12478043
2MASSJ19071662+4639532	0.68	0.523	0.634	0.525	4150	3700	230						0.68	0.634	4150		0.108144394
V526_Sgr	2.27	1.68	1.89	1.56	10140	8710	540						2.27	1.89	10140		34.25378258
FL_Lyr	1.218	0.958	1.283	0.963	6150	5300	140						1.218	1.283	6150		2.135929354
TYC_3121-1659-1	1.37	0.32	1.6	0.86	6700	3170	479						1.37	1.6	6700		4.679207285
V565_Lyr	0.996	0.929	1.101	0.971	5600	5430	4010						0.996	1.101	5600		1.08133399
V568_Lyr	1.074	0.827	1.399	0.768	5665	4900	3972						1.074	1.399	5665		1.828387292
V1430_Aql	0.96	0.86	1.1	0.85	5262	4930	142						0.96	1.1	5262		0.841437482
UZ_Dra	1.34	1.23	1.31	1.15	6210	5985	170						1.34	1.31	6210		2.314952586
V2080_Cyg	1.191	1.157	1.596	1.599	6000	5987	78						1.191	1.596	6000		2.994359113
V415_Aql	1.798	1.675	2.97	2.34	6590	6050	910						1.798	2.97	6590		15.0899453
V2083_Cyg	1.71	1.66	2.12	2.45	7630	7623	117						1.71	2.12	7630		13.81665718
WTS_19e-3-08413	0.463	0.351	0.48	0.375	3506	3338	610						0.463	0.48	3506		0.031576445
V885_Cyg	2.005	2.234	2.345	3.385	8375	8150	873						2.005	2.345	8375		24.53906807
WTS_19b-2-01387	0.498	0.481	0.496	0.479	3498	3436	545						0.498	0.496	3498		0.033409939
WTS_19c-3-01405	0.41	0.376	0.398	0.393	3309	3305	645						0.41	0.398	3309		0.017226075
KIC_6131659	0.922	0.685	0.88	0.64	5660	4780	322						0.922	0.88	5660		0.720881993
V1143_Cyg	1.391	1.347	1.346	1.323	6460	6400	38						1.391	1.346	6460		2.861892392
V541_Cyg	2.24	2.24	1.88	1.79	9885	9955	863						2.24	1.88	9885		30.60944827
V380_Cyg	11.1	6.95	14.7	3.74	21350	20500	1000						11.1	14.7	21350		40724.83143
KIC_10935310	0.68	0.341	0.613	0.897	4320	2750	127						0.68	0.613	4320		0.118710476
BS_Dra	1.294	1.276	1.415	1.396	6618	6626	172						1.294	1.415	6618		3.483798593
V477_Cyg	1.79	1.35	1.57	1.27	8700	6700	220						1.79	1.57	8700		12.80882888
V453_Cyg	14.36	11.11	8.551	5.489	26600	25500	2140						14.36	8.551	26600		33204.23415
2MASSJ20115132+0337194	0.557	0.535	0.569	0.5	3690	3610	364						0.557	0.569	3690		0.05444564
TYC_4589-2999-1	1.8	0.8	2.02	0.85	5830	4616	260						1.8	2.02	5830		4.275727966
V478_Cyg	16.6	16.3	7.43	7.43	30550	30550	1354						16.6	7.43	30550		43616.98021
MY_Cyg	1.82	1.8	2.22	2.28	7100	7036	228						1.82	2.22	7100		11.35984622
V399_Vul	7.57	5.46	5.82	3.14	19000	18250	274						7.57	5.82	19000		4003.994585
BP_Vul	1.737	1.408	1.852	1.489	7709	6823	400						1.737	1.852	7709		10.9877117
V442_Cyg	1.564	1.41	2.072	1.662	6900	6808	334						1.564	2.072	6900		8.826915589
MP_Del	1.559	1.248	2.428	1.575	7400	6927	149						1.559	2.428	7400		16.03457126
V456_Cyg	1.86	1.58	1.68	1.47	7750	6755	503						1.86	1.68	7750		9.235458941
MR_Del	0.63	0.69	0.65	0.83	4900	4400	63						0.63	0.65	4900		0.220924633
IO_Aqr	1.64	1.53	2.54	2.09	6600	6425	256						1.64	2.54	6600		11.10391897
V379_Cep	10.56	6.09	7.909	3.04	22025	20206	500						10.56	7.909	22025		13351.80337
Y_Cyg	17.5	17.3	6	5.7	31000	31570	1600						17.5	6	31000		30156.60062
CG_Cyg	0.94	0.81	0.89	0.84	5260	4720	83						0.94	0.89	5260		0.549991653
ER_Vul	1.09	1.06	1.16	1.18	6000	5883	52						1.09	1.16	6000		1.581809168
V1061_Cyg	1.282	0.932	1.615	0.974	6180	5300	166.9						1.282	1.615	6180		3.450897517
EI_Cep	1.772	1.68	2.896	2.329	6750	6950	192						1.772	2.896	6750		15.79229743
2MASSJ21295384-5620038	0.833	0.703	0.845	0.718	4750	4220	126						0.833	0.845	4750		0.329701532
EE_Peg	2.156	1.335	2.089	1.312	8700	6450	142						2.156	2.089	8700		22.67707304
EK_Cep	2.029	1.124	1.579	1.315	9000	5700	150						2.029	1.579	9000		14.83772802
OO_Peg	1.72	1.69	2.19	1.37	8770	8683	295						1.72	2.19	8770		25.73473565
VZ_Cep	1.402	1.108	1.534	1.042	6670	5720	215						1.402	1.534	6670		4.224615258
V497_Cep	6.89	5.39	3.69	2.92	19500	17756	760						6.89	3.69	19500		1785.764915
BG_Ind	1.428	1.293	2.29	1.68	6353	6653	67						1.428	2.29	6353		7.748533133
CM_Lac	1.98	1.5	1.51	1.55	9000	4586	227						1.98	1.51	9000		13.56928739
V398_Lac	3.83	3.29	4.89	2.45	11000	10900	725						3.83	4.89	11000		317.5569099
BW_Aqr	1.49	1.39	2.06	1.79	6350	6450	420						1.49	2.06	6350		6.258387507
WX_Cep	2.535	2.325	4	2.71	8150	8872	729						2.535	4	8150		64.03000357
LL_Aqr	1.223	1.056	1.325	1.005	6680	6200	123						1.223	1.325	6680		3.170813619
RW_Lac	0.928	0.87	1.186	0.964	5760	5560	190						0.928	1.186	5760		1.404405172
DH_Cep	32.7	29.8	8.69	8.58	41000	39550	2767						32.7	8.69	41000		193556.6461
AH_Cep	15.4	13.6	6.38	5.86	29900	28600	725						15.4	6.38	29900		29509.32117
V364_Lac	2.333	2.296	3.307	2.985	8250	8500	453						2.333	3.307	8250		45.95336222
V453_Cep	2.58	2.48	2.1	2	10300	10400	248						2.58	2.1	10300		45.02156595
NY_Cep	13	9	6.8	5.4	28500	23100	725						13	6.8	28500		27671.35168
EF_Aqr	1.244	0.946	1.338	0.956	6150	5185	172						1.244	1.338	6150		2.322981753
CW_Cep	11.82	11.09	5.48	4.99	28300	27700	770						11.82	5.48	28300		17471.89325
PV_Cas	2.81	2.76	2.297	2.256	10200	10200	670						2.81	2.297	10200		51.80310433
RT_And	1.24	0.91	1.26	0.9	6095	4732	107.5						1.24	1.26	6095		1.987325652
V396_Cas	2.398	1.901	2.592	1.779	9225	8550	560						2.398	2.592	9225		44.13352354
2MASSJ23143816+0339493	0.469	0.382	0.441	0.374	3460	3320	289						0.469	0.441	3460		0.02528219
NSVS_11868841	0.87	0.607	0.983	0.901	5250	5020	668						0.87	0.983	5250		0.665851462
AR_Cas	5.9	1.86	5.05	1.6	17200	8150	190						5.9	5.05	17200		2024.555339
V731_Cep	2.577	2.017	1.823	1.717	10700	9265	809						2.577	1.823	10700		39.5131412
IT_Cas	1.33	1.328	1.593	1.56	6470	6470	504						1.33	1.593	6470		4.033497412
BK_Peg	1.414	1.257	1.988	1.474	6265	6320	298						1.414	1.988	6265		5.52268369
AL_Scl	3.63	1.71	3.24	1.4	13550	10300	200						3.63	3.24	13550		320.9817272
V821_Cas	2.04	1.62	2.31	1.39	9400	8450	274						2.04	2.31	9400		37.78926827
													0.49	0.51	3614		0.040246309
													4.57	3.67	15100		635.1452084
													0.859	1.162	5959		1.544325726
													1.35	1.35	6700		3.331193468
													1.081	1.373	5875		2.037068657
													1.8	1.6	7780		8.507294392
													2.551	1.853	11910		62.66585839
													1.195	1.816	5010		1.88458487
													1.264	1.694	6170		3.772250949
													1.96	1.965	9100		24.01727811
													0.445	0.445	3085		0.016269485
													0.76	0.83	4750		0.318100046
													0.619	0.61	3600		0.05668952
													0.279	0.442	3365		0.022720502
													3.179	1.903	11000		48.09295092
													1.558	1.318	8000		6.453924445
													1.251	1.266	6462		2.534943795
													2.15	2.074	9800		35.98776826
													1.615	1.773	7620		9.613255054
													1.33	1.56	6561		4.090368697
													2.97	3.2	11210		146.6748036
													0.62	0.63	4055		0.097336929
													1.35	1.36	6580		3.144955463
													1.23	1.21	6575		2.481914851
													2.05	8.32	5000		39.24278114
													0.24	0.248	3300		0.00661595
													0.491	0.471	3270		0.023007315
													0.28	0.283	3241		0.008015343
													1.498	1.468	6970		4.613349231
													1.565	1.586	7262		6.345479606
													1.392	1.782	6625		5.54871014
													1.73	1.5	7670		7.063128091
													1.251	2.048	6000		4.930580054
													4.9	2.6	17400		562.0523882
													10.69	6.7	27244		22431.90723
													0.771	0.773	3977		0.135585879
													1.873	1.808	8240		13.66906496
													0.19	0.21	2900		0.0028292
													0.532	0.532	3810		0.054094894
													0.839	0.833	5125		0.434208769
													0.807	0.821	5270		0.471587064
													0.769	0.806	4133		0.171935206
													1.368	1.584	6200		3.362871099
													2.294	1.816	10350		34.32623694
													1.123	1.097	5900		1.322678853
													1.329	1.73	4751		1.383137755
													2.5	1.98	10700		46.6120925
													1.198	1.274	6150		2.106068185
													1.504	1.432	7200		4.998608577
													0.731	1.065	3615		0.175697479
													1.08	1.23	6685		2.740620978
													2.338	1.83	9950		29.7733437
													2.287	2.987	8400		40.29217373
													2.291	2.568	9200		42.85233157
													5.16	3.76	18500		1502.08916
													1.783	1.616	8600		12.95715417
													0.662	0.68	3940		0.101073155
													3.32	2.36	14500		223.3207734
													1.507	1.59	6980		5.44313427
													10.29	4.32	26400		8222.73529
													1.814	1.841	7670		10.63952259
													0.87	0.94	4804		0.426875088
													1.467	2.238	6166		6.567005112
													0.877	0.874	5200		0.506604856
													12.2	4.99	29000		15974.46019
													3.36	2.04	13140		112.5317063
													2.104	2.495	8100		24.30604423
													1.781	1.662	7700		8.807609434
													2	2.13	8531		21.79676707
													1.462	1.629	6550		4.43037489
													0.601	0.604	3820		0.070462888
													0.511	0.513	3610		0.040541204
													1.554	1.499	6930		4.700773356
													1.853	1.601	8650		13.01607979
													1.04	1.84	6455		5.331553123
													2.15	3.92	6700		28.08694173
													0.18	0.496	3106		0.020768363
													0.687	0.699	4090		0.124016849
													1.705	2.025	6900		8.431008486
													2.098	2.167	9500		34.69327928
													1.285	1.361	6440		2.889966631
													0.398	0.391	3125		0.013224727
													1.146	1.112	6290		1.755679607
													2.005	2.028	7521		11.93634504
													1.87	2.36	7228		13.78890216
													9	5	25500		9588.128345
													0.347	0.763	3620		0.090681035
													2.27	2.52	9830		53.78340098
													5.972	3.908	17780		1384.4244
													0.665	0.63	4125		0.104234148
													1.626	1.559	7638		7.503155635
													1.488	1.484	6900		4.527904655
													0.768	0.769	4360		0.193834798
													8.48	4.05	22600		3881.297311
													1.219	1.216	6400		2.250194994
													0.962	1.159	5097		0.822353442
													0.443	0.427	3630		0.028715432
													1.11	1.216	5741		1.456969451
													1.506	2.264	6457		8.081818614
													10.63	4.297	26500		8259.377409
													1.04	1.21	6500		2.370594517
													0.78	0.82	5120		0.419122192
													2.64	2.16	11100		64.24399296
													21.42	8.34	34000		84310.34721
													0.275	0.3	2952		0.006199277
													1.287	1.511	6190		3.040357361
													8.4	4.2	24000		5308.559092
													1.11	1.14	6112		1.64503898
													4.83	3.495	15400		623.1754729
													0.664	0.681	4250		0.13724074
													1.404	1.519	6546		3.842843162
													3.29	2.13	12550		102.0862424
													0.498	0.509	3513		0.035791613
													2.277	3.62	8280		55.86908987
													1.57	2.15	6670		8.298763037
													1.05	1.11	5850		1.308888133
													1.448	1.763	6500		5.032585472
													0.854	0.83	5000		0.390543407
													1.891	1.804	8800		17.70259214
													1.209	1.216	6145		1.912439949
													2.509	1.725	11000		39.51682538
													0.599	0.62	3810		0.073471074
													0.968	1.173	5670		1.289915817
													0.92	0.9	5800		0.831438444
													1.343	2.615	5781		6.92768883
													1.84	1.6	8872		14.38663437
													1.665	1.55	7798		8.058040172
													0.605	0.611	4812		0.181559093
