zone,q,logR,logRho,logT,logP,logPgas,luminosity,x_mass_fraction_H,y_mass_fraction_He,z_mass_fraction_metals,gamma1,opacity,pp,cno,gradr,gradT,grada,actual_gradT
155,9.99999989455407000E-01,4.25345431602326000E-01,-6.51288832708048000E+00,5.02911258451597000E+00,6.67321529161506000E+00,6.64170811865077000E+00,5.85006666241974000E+02,7.00000000000000000E-01,2.80000000000000000E-01,1.99999999999997000E-02,1.57851082998490000E+00,7.72840964031953000E+00,4.50857247135867000E-26,0.00000000000000000E+00,2.47916914838697000E-01,2.47916914838697000E-01,3.38887020693056000E-01,2.47916913347408000E-01
156,9.99999989103844000E-01,4.25283575866186000E-01,-6.49961198240971000E+00,5.03351789059151000E+00,6.69089925999696000E+00,6.65939680780407000E+00,5.85006666241028000E+02,7.00000000000000000E-01,2.80000000000000000E-01,1.99999999999997000E-02,1.57860034939578000E+00,7.74424806754235000E+00,4.64864287659084000E-26,0.00000000000000000E+00,2.48382865667242000E-01,2.48382865667242000E-01,3.38927250339943000E-01,2.48382859942232000E-01
157,9.99999988576500000E-01,4.25193538510835000E-01,-6.48434920788574000E+00,5.03858045716556000E+00,6.71122775665129000E+00,6.67973118936732000E+00,5.85006666239598000E+02,7.00000000000000000E-01,2.80000000000000000E-01,1.99999999999997000E-02,1.57869165356966000E+00,7.76508893612294000E+00,4.81505842316559000E-26,0.00000000000000000E+00,2.49080587623845000E-01,2.49080587623845000E-01,3.38967740984803000E-01,2.49080570421088000E-01
158,9.99999988049157000E-01,4.25106557293016000E-01,-6.46977692019935000E+00,5.04343415916922000E+00,6.73066233146870000E+00,6.69916725096973000E+00,5.85006666238153000E+02,7.00000000000000000E-01,2.80000000000000000E-01,1.99999999999997000E-02,1.57875879248346000E+00,7.78662493097366000E+00,4.97950404835622000E-26,0.00000000000000000E+00,2.49784830641780000E-01,2.49784830641780000E-01,3.38993612003547000E-01,2.49784802184809000E-01
159,9.99999987521813000E-01,4.25022396482435000E-01,-6.45470905529544000E+00,5.04848256585732000E+00,6.75079437273065000E+00,6.71929465976153000E+00,5.85006666236693000E+02,7.00000000000000000E-01,2.80000000000000000E-01,1.99999999999997000E-02,1.57880535416302000E+00,7.81014019310419000E+00,5.15545297639931000E-26,0.00000000000000000E+00,2.50471754645726000E-01,2.50471754645726000E-01,3.39006323898450000E-01,2.50471744363183000E-01
160,9.99999986906578000E-01,4.24927498403465000E-01,-6.43815604646416000E+00,5.05405232743401000E+00,6.77293902068712000E+00,6.74142919580026000E+00,5.85006666234973000E+02,7.00000000000000000E-01,2.80000000000000000E-01,1.99999999999997000E-02,1.57883552253453000E+00,7.83780445449560000E+00,5.35592199148677000E-26,0.00000000000000000E+00,2.51248228496051000E-01,2.51248228496051000E-01,3.39009531878637000E-01,2.51248239182001000E-01
161,9.99999986203453000E-01,4.24823027485432000E-01,-6.42444075612194000E+00,5.05865812020524000E+00,6.79127537683650000E+00,6.75975901834329000E+00,5.85006666232985000E+02,7.00000000000000000E-01,2.80000000000000000E-01,1.99999999999997000E-02,1.57885503555220000E+00,7.86339179773409000E+00,5.52791908975653000E-26,0.00000000000000000E+00,2.52133729816133000E-01,2.52133729816133000E-01,3.39012201246600000E-01,2.52133743507427000E-01
162,9.99999985764000000E-01,4.24759726305959000E-01,-6.41263957852122000E+00,5.06266549291458000E+00,6.80710587096727000E+00,6.77557453087832000E+00,5.85006666231730000E+02,7.00000000000000000E-01,2.80000000000000000E-01,1.99999999999997000E-02,1.57885074788227000E+00,7.88553808390788000E+00,5.68032859712100000E-26,0.00000000000000000E+00,2.52676282330189000E-01,2.52676282330189000E-01,3.39002123241758000E-01,2.52676295546183000E-01
163,9.99999985178063000E-01,4.24677546032706000E-01,-6.40283571991055000E+00,5.06598083482309000E+00,6.82024000934109000E+00,6.78869908684588000E+00,5.85006666230044000E+02,7.00000000000000000E-01,2.80000000000000000E-01,1.99999999999997000E-02,1.57884908211041000E+00,7.90585421118690000E+00,5.81013519379145000E-26,0.00000000000000000E+00,2.53389646718390000E-01,2.53389646718390000E-01,3.38996241480180000E-01,2.53389655810660000E-01
164,9.99999984885094000E-01,4.24637356099312000E-01,-6.39335317924943000E+00,5.06922850543381000E+00,6.83299322273526000E+00,6.80143440693026000E+00,5.85006666229195000E+02,7.00000000000000000E-01,2.80000000000000000E-01,1.99999999999997000E-02,1.57883125085401000E+00,7.92524260393291000E+00,5.93851013886017000E-26,0.00000000000000000E+00,2.53742108773825000E-01,2.53742108773825000E-01,3.38979507191993000E-01,2.53742108712354000E-01
