name	M1	M2	R1	R2	T1	T2	d						M	R	T		Lum			Gravity		
2MASSJ09381349-0104281	0.771	0.768	0.772	0.769	4360	4360	151				0.998704663		0.771	0.772	4360		0.195350113			5.09702E-07		
QX_Car	9.266	8.48	4.29	4.05	23800	22600	760				2.15990676		9.266	4.29	23800		5356.184409			1.98369E-07		
HS_Hya	1.255	1.219	1.275	1.216	6500	6400	102				0.984313725		1.255	1.275	6500		2.63212739			3.04172E-07		
ZZ_UMa	1.182	0.962	1.519	1.159	5903	5097	172				0.778143515		1.182	1.519	5903		2.541205514			2.01836E-07		
2MASSJ10305521+0334265	0.499	0.443	0.457	0.427	3720	3630	627				1.09190372		0.499	0.457	3720		0.036277493			9.41379E-07		
UV_Leo	1.21	1.11	0.973	1.216	6129	5741	91				1.243576567		1.21	0.973	6129		1.211761847			5.03565E-07		
RZ_Cha	1.514	1.506	2.264	2.264	6457	6457	190				0.668727915		1.514	2.264	6457		8.081818614			1.16378E-07		
DW_Car	11.34	10.63	4.558	4.297	27900	26500	2810				2.487933304		11.34	4.558	27900		11418.22412			2.1506E-07		
UW_Lmi	1.06	1.04	1.23	1.21	6500	6500	114				0.861788618		1.06	1.23	6500		2.449608937			2.76053E-07		
GZ_Leo	0.79	0.78	0.79	0.82	5120	5120	54				1		0.79	0.79	5120		0.389015705			4.98734E-07		
chi02_Hya	3.61	2.64	4.39	2.16	11750	11100	240				0.822323462		3.61	4.39	11750		333.2066155			7.38031E-08		
EM_Car	22.89	21.42	9.35	8.34	34000	34000	2200				2.448128342		22.89	9.35	34000		105967.3316			1.03162E-07		
LSPM_J1112+7626	0.395	0.275	0.381	0.3	3061	2952	48.1				1.036745407		0.395	0.381	3061		0.011559429			1.07212E-06		
FM_Leo	1.318	1.287	1.648	1.511	6316	6190	130.4				0.799757282		1.318	1.648	6316		3.920270265			1.91204E-07		
V346_Cen	11.8	8.4	8.2	4.2	26500	24000	2380				1.43902439		11.8	8.2	26500		30077.67823			6.91434E-08		
MW_UMa	1.32	1.11	1.26	1.14	6514	6112	159				1.047619048		1.32	1.26	6514		2.592777299			3.27589E-07		
EP_Cru	5.02	4.83	3.59	3.495	15700	15400	1000				1.398328691		5.02	3.59	15700		710.2653285			1.53466E-07		
IM_Vir	0.981	0.664	1.061	0.681	5570	4250	89.8				0.924599434		0.981	1.061	5570		0.98284415			3.43348E-07		
HY_Vir	1.838	1.404	2.806	1.519	7870	6546	182				0.655024947		1.838	2.806	7870		27.39727514			9.19743E-08		
eta_Mus	3.3	3.29	2.14	2.13	12700	12550	103				1.542056075		3.3	2.14	12700		108.0626315			2.83911E-07		
NSVS_01031772	0.543	0.498	0.526	0.509	3615	3513	60				1.032319392		0.543	0.526	3615		0.042858583			7.73258E-07		
SZ_Cen	2.317	2.277	4.552	3.62	8000	8280	545				0.50900703		2.317	4.552	8000		76.98348423			4.40573E-08		
ZZ_Boo	1.62	1.57	2.15	2.15	6670	6670	104				0.753488372		1.62	2.15	6670		8.298763037			1.38081E-07		
BH_Vir	1.178	1.05	1.22	1.11	6000	5850	225				0.96557377		1.178	1.22	6000		1.74967655			3.11833E-07		
DM_Vir	1.454	1.448	1.763	1.763	6500	6500	192				0.824730573		1.454	1.763	6500		5.032585472			1.84313E-07		
V636_Cen	1.052	0.854	1.018	0.83	5900	5000	71.8				1.033398821		1.052	1.018	5900		1.13903406			3.9996E-07		
Psi_Cen	3.084	1.891	3.621	1.804	10450	8800	79				0.851698426		3.084	3.621	10450		141.8258254			9.26731E-08		
AD_Boo	1.414	1.209	1.612	1.216	6575	6145	201				0.877171216		1.414	1.612	6575		4.405003035			2.14395E-07		
GG_Lup	4.116	2.509	2.379	1.725	14750	11000	140				1.730138714		4.116	2.379	14750		242.9909359			2.86538E-07		
GU_Boo	0.61	0.599	0.623	0.62	3920	3810	140				0.979133226		0.61	0.623	3920		0.083129175			6.19227E-07		
CV_Boo	1.032	0.968	1.262	1.173	5760	5670	259				0.817749604		1.032	1.262	5760		1.590163395			2.55304E-07		
alpha_CrB	2.58	0.92	3.04	0.9	9700	5800	23				0.848684211		2.58	3.04	9700		74.21081697			1.09994E-07		
RT_CrB	1.359	1.343	2.946	2.615	5134	5781	408				0.461303462		1.359	2.946	5134		5.469177907			6.1695E-08		
V335_Ser	2.02	1.84	2.03	1.6	9506	8872	219				0.995073892		2.02	2.03	9506		30.52224148			1.93133E-07		
TV_Nor	2.053	1.665	1.839	1.55	9120	7798	265				1.116367591		2.053	1.839	9120		21.22149229			2.39178E-07		
M4-V65	0.804	0.605	1.147	0.611	6088	4812	1850				0.700959024		0.804	1.147	6088		1.639300303			2.40783E-07		
M4-V66	0.784	0.744	0.934	0.83	6162	5938	1850				0.839400428		0.784	0.934	6162		1.140810834			3.54094E-07		
M4-V69	0.766	0.728	0.866	0.807	6084	5915	1850				0.884526559		0.766	0.866	6084		0.932021035			4.02429E-07		
V760_Sco	4.98	4.62	3.01	2.64	16900	16300	280				1.65448505		4.98	3.01	16900		670.3674489			2.16567E-07		
CM_Dra	0.231	0.214	0.253	0.239	3130	3120	145				0.913043478		0.231	0.253	3130		0.005572518			1.42189E-06		
2MASSJ16502074+4639013	0.493	0.489	0.453	0.452	3500	3395	118				1.088300221		0.493	0.453	3500		0.027931978			9.46557E-07		
V1292_Sco	18.6	7.3	11.2	5.2	31900	21800	1637				1.660714286		18.6	11.2	31900		117823.4909			5.84216E-08		
V1034_Sco	17.97	9.96	7.45	5.39	34000	26260	1528				2.412080537		17.97	7.45	34000		67276.17972			1.27565E-07		
V2626_Oph	1.76	1.28	3.243	1.291	7760	7205	246				0.54270737		1.76	3.243	7760		34.5918581			6.59348E-08		
WZ_Oph	1.227	1.22	1.401	1.419	6165	6115	156				0.875802998		1.227	1.401	6165		2.571826712			2.463E-07		
V2365_Oph	1.965	1.056	2.19	0.934	9500	6400	251				0.897260274		1.965	2.19	9500		35.43363924			1.61425E-07		
V2368_Oph	2.62	2.74	3.96	3.84	9300	9500	220				0.661616162		2.62	3.96	9300		106.4033434			6.58275E-08		
U_Oph	4.93	4.56	3.29	3.01	16900	16000	212				1.498480243		4.93	3.29	16900		800.8878824			1.79453E-07		
TX_Her	1.62	1.45	1.69	1.43	7534	6678	155				0.958579882		1.62	1.69	7534		8.346588086			2.2348E-07		
LV_Her	1.193	1.17	1.358	1.313	6060	6030	352				0.878497791		1.193	1.358	6060		2.255917145			2.54881E-07		
V624_Her	2.27	1.87	3.03	2.21	8150	7945	146				0.749174917		2.27	3.03	8150		36.74081623			9.74175E-08		
BD-00_3357	1.73	1.34	1.78	1.32	7250	6425	310				0.971910112		1.73	1.78	7250		7.940084774			2.15131E-07		
V539_Ara	6.25	5.33	4.43	3.73	18200	16982	340				1.410835214		6.25	4.43	18200		1953.107343			1.25478E-07		
V906_Sco	3.378	3.253	4.521	3.515	10400	10700	283				0.747179827		3.378	4.521	10400		216.8879779			6.51159E-08		
Z_Her	1.61	1.31	1.85	2.73	6397	4977	100				0.87027027		1.61	1.85	6397		5.19854692			1.85344E-07		
V1647_Sgr	2.19	1.97	1.83	1.67	9600	9100	160				1.196721311		2.19	1.83	9600		25.80003054			2.57655E-07		
V3903_Sgr	27.27	19.01	8.088	6.125	38000	34100	1497				3.371661721		27.27	8.088	38000		123722.8114			1.64248E-07		
EG_Ser	2.2	1.99	1.69	1.55	9900	9100	230				1.301775148		2.2	1.69	9900		24.885553			3.03491E-07		
V994_Her-B	1.87	1.86	1.59	1.5	9000	8450	256				1.176100629		1.87	1.59	9000		15.04518024			2.91436E-07		
V994_Her-A	2.83	2.3	2.15	1.71	12000	9450	256				1.31627907		2.83	2.15	12000		86.94307824			2.41216E-07		
V451_Oph	2.776	2.356	2.64	2.028	10800	9800	300				1.051515152		2.776	2.64	10800		86.00743266			1.56931E-07		
RX_Her	2.747	2.326	2.443	1.986	11100	10016	325				1.124437167		2.747	2.443	11100		82.18110141			1.81346E-07		
V413_Ser	3.68	3.36	3.21	2.93	11100	10350	247				1.146417445		3.68	3.21	11100		141.8845439			1.40713E-07		
HD_172189	2.06	1.87	4.014	2.967	7920	7608	432				0.513203787		2.06	4.014	7920		57.50274421			5.03743E-08		
V1331_Aql	10.1	5.29	4.25	4.04	25400	20100	490				2.376470588		10.1	4.25	25400		6819.394814			2.20313E-07		
YY_Sgr	3.9	3.48	2.56	2.33	14800	14125	900				1.5234375		3.9	2.56	14800		285.2068162			2.34467E-07		
BF_Dra	1.414	1.375	2.086	1.922	6360	6400	354				0.677852349		1.414	2.086	6360		6.4578831			1.28032E-07		
BD+03_3821	4.04	2.72	3.77	2.04	13140	12044	513				1.071618037		4.04	3.77	13140		384.323791			1.11994E-07		
DI_Her	5.15	4.52	2.68	2.48	16980	15135	617				1.921641791		5.15	2.68	16980		541.568555			2.8251E-07		
HP_Dra	1.133	1.094	1.371	1.052	6000	5895	77				0.826404085		1.133	1.371	6000		2.209596735			2.37493E-07		
V1182_Aql	31	16.6	9	4.86	43000	30500	1500				3.444444444		31	9	43000		251183.987			1.5079E-07		
V1665_Aql	3.97	3.66	4.13	2.6	12300	11650	477				0.96125908		3.97	4.13	12300		354.1226108			9.17037E-08		
V805_Aql	2.11	1.63	2.11	1.75	8185	7178	168				1		2.11	2.11	8185		18.12478043			1.8673E-07		
2MASSJ19071662+4639532	0.68	0.523	0.634	0.525	4150	3700	230				1.072555205		0.68	0.634	4150		0.108144394			6.66541E-07		
V526_Sgr	2.27	1.68	1.89	1.56	10140	8710	540				1.201058201		2.27	1.89	10140		34.25378258			2.50379E-07		
FL_Lyr	1.218	0.958	1.283	0.963	6150	5300	140				0.94933749		1.218	1.283	6150		2.135929354			2.91535E-07		
TYC_3121-1659-1	1.37	0.32	1.6	0.86	6700	3170	479				0.85625		1.37	1.6	6700		4.679207285			2.10852E-07		
V565_Lyr	0.996	0.929	1.101	0.971	5600	5430	4010				0.904632153		0.996	1.101	5600		1.08133399			3.23728E-07		
V568_Lyr	1.074	0.827	1.399	0.768	5665	4900	3972				0.767691208		1.074	1.399	5665		1.828387292			2.16205E-07		
V1430_Aql	0.96	0.86	1.1	0.85	5262	4930	142				0.872727273		0.96	1.1	5262		0.841437482			3.12595E-07		
UZ_Dra	1.34	1.23	1.31	1.15	6210	5985	170				1.022900763		1.34	1.31	6210		2.314952586			3.07651E-07		
V2080_Cyg	1.191	1.157	1.596	1.599	6000	5987	78				0.746240602		1.191	1.596	6000		2.994359113			1.84222E-07		
V415_Aql	1.798	1.675	2.97	2.34	6590	6050	910				0.605387205		1.798	2.97	6590		15.0899453			8.03106E-08		
V2083_Cyg	1.71	1.66	2.12	2.45	7630	7623	117				0.806603774		1.71	2.12	7630		13.81665718			1.49907E-07		
WTS_19e-3-08413	0.463	0.351	0.48	0.375	3506	3338	610				0.964583333		0.463	0.48	3506		0.031576445			7.91762E-07		
V885_Cyg	2.005	2.234	2.345	3.385	8375	8150	873				0.855010661		2.005	2.345	8375		24.53906807			1.43656E-07		
WTS_19b-2-01387	0.498	0.481	0.496	0.479	3498	3436	545				1.004032258		0.498	0.496	3498		0.033409939			7.97558E-07		
WTS_19c-3-01405	0.41	0.376	0.398	0.393	3309	3305	645				1.030150754		0.41	0.398	3309		0.017226075			1.0198E-06		
KIC_6131659	0.922	0.685	0.88	0.64	5660	4780	322				1.047727273		0.922	0.88	5660		0.720881993			4.69096E-07		
V1143_Cyg	1.391	1.347	1.346	1.323	6460	6400	38				1.033432392		1.391	1.346	6460		2.861892392			3.02505E-07		
V541_Cyg	2.24	2.24	1.88	1.79	9885	9955	863				1.191489362		2.24	1.88	9885		30.60944827			2.49706E-07		
V380_Cyg	11.1	6.95	14.7	3.74	21350	20500	1000				0.755102041		11.1	14.7	21350		40724.83143			2.02388E-08		
KIC_10935310	0.68	0.341	0.613	0.897	4320	2750	127				1.109298532		0.68	0.613	4320		0.118710476			7.12991E-07		
BS_Dra	1.294	1.276	1.415	1.396	6618	6626	172				0.914487633		1.294	1.415	6618		3.483798593			2.54635E-07		
V477_Cyg	1.79	1.35	1.57	1.27	8700	6700	220				1.140127389		1.79	1.57	8700		12.80882888			2.86121E-07		
V453_Cyg	14.36	11.11	8.551	5.489	26600	25500	2140				1.67933575		14.36	8.551	26600		33204.23415			7.73779E-08		
2MASSJ20115132+0337194	0.557	0.535	0.569	0.5	3690	3610	364				0.978910369		0.557	0.569	3690		0.05444564			6.7784E-07		
TYC_4589-2999-1	1.8	0.8	2.02	0.85	5830	4616	260				0.891089109		1.8	2.02	5830		4.275727966			1.73806E-07		
V478_Cyg	16.6	16.3	7.43	7.43	30550	30550	1354				2.234185734		16.6	7.43	30550		43616.98021			1.18475E-07		
MY_Cyg	1.82	1.8	2.22	2.28	7100	7036	228				0.81981982		1.82	2.22	7100		11.35984622			1.455E-07		
V399_Vul	7.57	5.46	5.82	3.14	19000	18250	274				1.300687285		7.57	5.82	19000		4003.994585			8.80534E-08		
BP_Vul	1.737	1.408	1.852	1.489	7709	6823	400				0.937904968		1.737	1.852	7709		10.9877117			1.99533E-07		
V442_Cyg	1.564	1.41	2.072	1.662	6900	6808	334				0.754826255		1.564	2.072	6900		8.826915589			1.43534E-07		
MP_Del	1.559	1.248	2.428	1.575	7400	6927	149				0.642092257		1.559	2.428	7400		16.03457126			1.04195E-07		
V456_Cyg	1.86	1.58	1.68	1.47	7750	6755	503				1.107142857		1.86	1.68	7750		9.235458941			2.59651E-07		
MR_Del	0.63	0.69	0.65	0.83	4900	4400	63				0.969230769		0.63	0.65	4900		0.220924633			5.87503E-07		
IO_Aqr	1.64	1.53	2.54	2.09	6600	6425	256				0.645669291		1.64	2.54	6600		11.10391897			1.00155E-07		
V379_Cep	10.56	6.09	7.909	3.04	22025	20206	500				1.335187761		10.56	7.909	22025		13351.80337			6.65146E-08		
Y_Cyg	17.5	17.3	6	5.7	31000	31570	1600				2.916666667		17.5	6	31000		30156.60062			1.91528E-07		
CG_Cyg	0.94	0.81	0.89	0.84	5260	4720	83				1.056179775		0.94	0.89	5260		0.549991653			4.67567E-07		
ER_Vul	1.09	1.06	1.16	1.18	6000	5883	52				0.939655172		1.09	1.16	6000		1.581809168			3.19159E-07		
V1061_Cyg	1.282	0.932	1.615	0.974	6180	5300	166.9				0.79380805		1.282	1.615	6180		3.450897517			1.9366E-07		
EI_Cep	1.772	1.68	2.896	2.329	6750	6950	192				0.611878453		1.772	2.896	6750		15.79229743			8.32459E-08		
2MASSJ21295384-5620038	0.833	0.703	0.845	0.718	4750	4220	126				0.985798817		0.833	0.845	4750		0.329701532			4.59651E-07		
EE_Peg	2.156	1.335	2.089	1.312	8700	6450	142				1.032072762		2.156	2.089	8700		22.67707304			1.94656E-07		
EK_Cep	2.029	1.124	1.579	1.315	9000	5700	150				1.2849905		2.029	1.579	9000		14.83772802			3.20637E-07		
OO_Peg	1.72	1.69	2.19	1.37	8770	8683	295				0.785388128		1.72	2.19	8770		25.73473565			1.41298E-07		
VZ_Cep	1.402	1.108	1.534	1.042	6670	5720	215				0.913950456		1.402	1.534	6670		4.224615258			2.34743E-07		
V497_Cep	6.89	5.39	3.69	2.92	19500	17756	760				1.867208672		6.89	3.69	19500		1785.764915			1.99371E-07		
BG_Ind	1.428	1.293	2.29	1.68	6353	6653	67				0.623580786		1.428	2.29	6353		7.748533133			1.07289E-07		
CM_Lac	1.98	1.5	1.51	1.55	9000	4586	227				1.311258278		1.98	1.51	9000		13.56928739			3.42143E-07		
V398_Lac	3.83	3.29	4.89	2.45	11000	10900	725				0.783231084		3.83	4.89	11000		317.5569099			6.3107E-08		
BW_Aqr	1.49	1.39	2.06	1.79	6350	6450	420				0.723300971		1.49	2.06	6350		6.258387507			1.3834E-07		
WX_Cep	2.535	2.325	4	2.71	8150	8872	729				0.63375		2.535	4	8150		64.03000357			6.24244E-08		
LL_Aqr	1.223	1.056	1.325	1.005	6680	6200	123				0.923018868		1.223	1.325	6680		3.170813619			2.74467E-07		
